,0,1
135,CIP03CERT2,0.0005244178806633018
136,CIP03CERT2,0.0005184433493907274
137,CIP26CERT1,0.0005114290209211712
138,CIP41CERT2,0.0004997984970631958
139,CIP41CERT2,0.0004889354566776594
140,CIP03CERT2,0.00048056015409671325
141,CIP23CERT2,0.00046878089560692713
142,CIP38CERT1,0.0004484782723604686
143,CIP15CERT4,0.00043501770722454444
144,CIP11CERT4,0.000421110895290831
145,CIP48CERT4,0.00036711742463487124
146,CIP22CERT4,0.0003493634783564456
147,CIP25CERT1,0.00034341882068617376
148,PCIP47,0.00033177737536853156
149,CIP25CERT1,0.00032976326142195874
150,CIP40CERT1,0.0003145587226793742
151,CIP38CERT2,0.0003057395829310458
152,CIP29ASSOC,0.0002900707052590806
153,CIP04CERT2,0.00028431646158679017
