dup_var_name,Type,dev-cat,CIP_code,VALUE,LABEL,developer-friendly name
CCBASIC,factor,school,NA,25,Special Focus Four-Year: Medical Schools & Centers,NA
CCBASIC,factor,school,NA,26,Special Focus Four-Year: Other Health Professions Schools,NA
CCBASIC,factor,school,NA,27,Special Focus Four-Year: Engineering Schools,NA
CCBASIC,factor,school,NA,28,Special Focus Four-Year: Other Technology-Related Schools,NA
CCBASIC,factor,school,NA,29,Special Focus Four-Year: Business & Management Schools,NA
CCBASIC,factor,school,NA,30,"Special Focus Four-Year: Arts, Music & Design Schools",NA
CCBASIC,factor,school,NA,31,Special Focus Four-Year: Law Schools,NA
CCBASIC,factor,school,NA,32,Special Focus Four-Year: Other Special Focus Institutions,NA
CCBASIC,factor,school,NA,33,Tribal Colleges,NA
CCUGPROF,factor,school,NA,-2,Not applicable,carnegie_undergrad
CCUGPROF,factor,school,NA,0,Not classified (Exclusively Graduate),NA
CCUGPROF,factor,school,NA,1,"Two-year, higher part-time",NA
CCUGPROF,factor,school,NA,2,"Two-year, mixed part/full-time",NA
CCUGPROF,factor,school,NA,3,"Two-year, medium full-time",NA
CCUGPROF,factor,school,NA,4,"Two-year, higher full-time",NA
CCUGPROF,factor,school,NA,5,"Four-year, higher part-time",NA
CCUGPROF,factor,school,NA,6,"Four-year, medium full-time, inclusive, lower transfer-in",NA
CCUGPROF,factor,school,NA,7,"Four-year, medium full-time, inclusive, higher transfer-in",NA
CCUGPROF,factor,school,NA,8,"Four-year, medium full-time, selective, lower transfer-in",NA
CCUGPROF,factor,school,NA,9,"Four-year, medium full-time , selective, higher transfer-in",NA
CCUGPROF,factor,school,NA,10,"Four-year, full-time, inclusive, lower transfer-in",NA
CCUGPROF,factor,school,NA,11,"Four-year, full-time, inclusive, higher transfer-in",NA
CCUGPROF,factor,school,NA,12,"Four-year, full-time, selective, lower transfer-in",NA
CCUGPROF,factor,school,NA,13,"Four-year, full-time, selective, higher transfer-in",NA
CCUGPROF,factor,school,NA,14,"Four-year, full-time, more selective, lower transfer-in",NA
CCUGPROF,factor,school,NA,15,"Four-year, full-time, more selective, higher transfer-in",NA
CCSIZSET,factor,school,NA,-2,Not applicable,carnegie_size_setting
CCSIZSET,factor,school,NA,0,(Not classified),NA
CCSIZSET,factor,school,NA,1,"Two-year, very small",NA
CCSIZSET,factor,school,NA,2,"Two-year, small",NA
CCSIZSET,factor,school,NA,3,"Two-year, medium",NA
CCSIZSET,factor,school,NA,4,"Two-year, large",NA
CCSIZSET,factor,school,NA,5,"Two-year, very large",NA
CCSIZSET,factor,school,NA,6,"Four-year, very small, primarily nonresidential",NA
CCSIZSET,factor,school,NA,7,"Four-year, very small, primarily residential",NA
CCSIZSET,factor,school,NA,8,"Four-year, very small, highly residential",NA
CCSIZSET,factor,school,NA,9,"Four-year, small, primarily nonresidential",NA
CCSIZSET,factor,school,NA,10,"Four-year, small, primarily residential",NA
CCSIZSET,factor,school,NA,11,"Four-year, small, highly residential",NA
CCSIZSET,factor,school,NA,12,"Four-year, medium, primarily nonresidential",NA
CCSIZSET,factor,school,NA,13,"Four-year, medium, primarily residential",NA
CCSIZSET,factor,school,NA,14,"Four-year, medium, highly residential",NA
CCSIZSET,factor,school,NA,15,"Four-year, large, primarily nonresidential",NA
CCSIZSET,factor,school,NA,16,"Four-year, large, primarily residential",NA
CCSIZSET,factor,school,NA,17,"Four-year, large, highly residential",NA
CCSIZSET,factor,school,NA,18,Exclusively graduate/professional,NA
HBCU,factor,school,NA,0,No,minority_serving.historically_black
HBCU,factor,school,NA,1,Yes,NA
PBI,factor,school,NA,0,No,minority_serving.predominantly_black
PBI,factor,school,NA,1,Yes,NA
ANNHI,factor,school,NA,0,No,minority_serving.annh
ANNHI,factor,school,NA,1,Yes,NA
TRIBAL,factor,school,NA,0,No,minority_serving.tribal
TRIBAL,factor,school,NA,1,Yes,NA
AANAPII,factor,school,NA,0,No,minority_serving.aanipi
AANAPII,factor,school,NA,1,Yes,NA
HSI,factor,school,NA,0,No,minority_serving.hispanic
HSI,factor,school,NA,1,Yes,NA
"NANTI",factor,school,NA,0,No,minority_serving.nant
"NANTI",factor,school,NA,1,Yes,NA
MENONLY,factor,school,NA,0,No,men_only
MENONLY,factor,school,NA,1,Yes,NA
WOMENONLY,factor,school,NA,0,No,women_only
WOMENONLY,factor,school,NA,1,Yes,NA
RELAFFIL,factor,school,NA,-1,Not reported,religious_affiliation
RELAFFIL,factor,school,NA,-2,Not applicable,NA
RELAFFIL,factor,school,NA,22,American Evangelical Lutheran Church,NA
RELAFFIL,factor,school,NA,24,African Methodist Episcopal Zion Church,NA
RELAFFIL,factor,school,NA,27,Assemblies of God Church,NA
RELAFFIL,factor,school,NA,28,Brethren Church,NA
RELAFFIL,factor,school,NA,30,Roman Catholic,NA
RELAFFIL,factor,school,NA,33,Wisconsin Evangelical Lutheran Synod,NA
RELAFFIL,factor,school,NA,34,Christ and Missionary Alliance Church,NA
RELAFFIL,factor,school,NA,35,Christian Reformed Church,NA
RELAFFIL,factor,school,NA,36,Evangelical Congregational Church,NA
RELAFFIL,factor,school,NA,37,Evangelical Covenant Church of America,NA
RELAFFIL,factor,school,NA,38,Evangelical Free Church of America,NA
RELAFFIL,factor,school,NA,39,Evangelical Lutheran Church,NA
RELAFFIL,factor,school,NA,40,International United Pentecostal Church,NA
RELAFFIL,factor,school,NA,41,Free Will Baptist Church,NA
RELAFFIL,factor,school,NA,42,Interdenominational,NA
RELAFFIL,factor,school,NA,43,Mennonite Brethren Church,NA
RELAFFIL,factor,school,NA,44,Moravian Church,NA
RELAFFIL,factor,school,NA,45,North American Baptist,NA
RELAFFIL,factor,school,NA,47,Pentecostal Holiness Church,NA
RELAFFIL,factor,school,NA,48,Christian Churches and Churches of Christ,NA
RELAFFIL,factor,school,NA,49,Reformed Church in America,NA
RELAFFIL,factor,school,NA,50,"Episcopal Church, Reformed",NA
RELAFFIL,factor,school,NA,51,African Methodist Episcopal,NA
RELAFFIL,factor,school,NA,52,American Baptist,NA
RELAFFIL,factor,school,NA,53,American Lutheran,NA
RELAFFIL,factor,school,NA,54,Baptist,NA
RELAFFIL,factor,school,NA,55,Christian Methodist Episcopal,NA
RELAFFIL,factor,school,NA,57,Church of God,NA
RELAFFIL,factor,school,NA,58,Church of Brethren,NA
RELAFFIL,factor,school,NA,59,Church of the Nazarene,NA
RELAFFIL,factor,school,NA,60,Cumberland Presbyterian,NA
RELAFFIL,factor,school,NA,61,Christian Church (Disciples of Christ),NA
RELAFFIL,factor,school,NA,64,Free Methodist,NA
RELAFFIL,factor,school,NA,65,Friends,NA
RELAFFIL,factor,school,NA,66,Presbyterian Church (USA),NA
RELAFFIL,factor,school,NA,67,Lutheran Church in America,NA
RELAFFIL,factor,school,NA,68,Lutheran Church - Missouri Synod,NA
RELAFFIL,factor,school,NA,69,Mennonite Church,NA
RELAFFIL,factor,school,NA,71,United Methodist,NA
RELAFFIL,factor,school,NA,73,Protestant Episcopal,NA
RELAFFIL,factor,school,NA,74,Churches of Christ,NA
RELAFFIL,factor,school,NA,75,Southern Baptist,NA
RELAFFIL,factor,school,NA,76,United Church of Christ,NA
RELAFFIL,factor,school,NA,77,"Protestant, not specified",NA
RELAFFIL,factor,school,NA,78,Multiple Protestant Denomination,NA
RELAFFIL,factor,school,NA,79,Other Protestant,NA
RELAFFIL,factor,school,NA,80,Jewish,NA
RELAFFIL,factor,school,NA,81,Reformed Presbyterian Church,NA
RELAFFIL,factor,school,NA,84,United Brethren Church,NA
RELAFFIL,factor,school,NA,87,Missionary Church Inc,NA
RELAFFIL,factor,school,NA,88,Undenominational,NA
RELAFFIL,factor,school,NA,89,Wesleyan,NA
RELAFFIL,factor,school,NA,91,Greek Orthodox,NA
RELAFFIL,factor,school,NA,92,Russian Orthodox,NA
RELAFFIL,factor,school,NA,93,Unitarian Universalist,NA
RELAFFIL,factor,school,NA,94,Latter Day Saints (Mormon Church),NA
RELAFFIL,factor,school,NA,95,Seventh Day Adventists,NA
RELAFFIL,factor,school,NA,97,The Presbyterian Church in America,NA
RELAFFIL,factor,school,NA,99,Other (none of the above),NA
RELAFFIL,factor,school,NA,100,Original Free Will Baptist,NA
RELAFFIL,factor,school,NA,101,Ecumenical Christian,NA
RELAFFIL,factor,school,NA,102,Evangelical Christian,NA
RELAFFIL,factor,school,NA,103,Presbyterian,NA
RELAFFIL,factor,school,NA,105,General Baptist,NA
RELAFFIL,factor,school,NA,106,Muslim,NA
RELAFFIL,factor,school,NA,107,Plymouth Brethren,NA
ADM_RATE,num,admissions,NA,NA,NA,admission_rate.overall
ADM_RATE_ALL,num,admissions,NA,NA,NA,admission_rate.by_ope_id
