NUM_COMPLETERS_DFLT_in2yr,NUM_COMPLETERS_DFLT_in2yr = BBRR2_FED_UGCOMP_DFLT * BBRR2_FED_UGCOMP_N
NUM_COMPLETERS_FBR_in2yr,NUM_COMPLETERS_FBR_in2yr = BBRR2_FED_UGCOMP_FBR * BBRR2_FED_UGCOMP_N
NUM_COMPLETERS_NOPROG_in2yr,NUM_COMPLETERS_NOPROG_in2yr = BBRR2_FED_UGCOMP_NOPROG * BBRR2_FED_UGCOMP_N
NUM_FIRSTTIME_STUDENT,NUM_FIRSTTIME_STUDENT = NUM_FTFT_STUDENT + NUM_PTFT_STUDENT    
NUM_FTFT_LOAN_STUDENT,NUM_FTFT_LOAN_STUDENT = FTFTPCTFLOAN * SCUGFFN
NUM_FTFT_PELL_STUDENT,NUM_FTFT_PELL_STUDENT = FTFTPCTPELL * SCUGFFN
NUM_FTFT_STUDENT,NUM_FTFT_STUDENT = GRAD8_FTFT + STILL_ENRL8_FTFT + TRANSFER8_FTFT + STATUS_UNKN_FTFT
NUM_FTNFT_STUDENT,NUM_FTNFT_STUDENT = GRAD8_FTNFT + STILL_ENRL8_FTNFT + TRANSFER8_FTNFT + STATUS_UNKN_FTNFT
NUM_FULLTIME_STUDENT,NUM_FULLTIME_STUDENT = NUM_FTFT_STUDENT + NUM_FTNFT_STUDENT    
NUM_GRAD6_FTFT,NUM_GRAD6_FTFT = OMACHT6_FTFT * OMAWDP6_FTFT
NUM_GRAD6_FTNFT,NUM_GRAD6_FTNFT = OMACHT6_FTNFT * OMAWDP6_FTNFT
NUM_GRAD6_PTFT,NUM_GRAD6_PTFT = OMACHT6_PTFT * OMAWDP6_PTFT
NUM_GRAD6_PTNFT,NUM_GRAD6_PTNFT = OMACHT6_PTNFT * OMAWDP6_PTNFT
NUM_GRAD8_ALL,NUM_GRAD8_ALL = OMAWDP8_ALL * NUM_STUDENT_FT_plus_PT
NUM_GRAD8_FIRSTTIME,NUM_GRAD8_FIRSTTIME = OMAWDP8_FIRSTTIME * NUM_FIRSTTIME_STUDENT
NUM_GRAD8_FTFT,NUM_GRAD8_FTFT = OMAWDP8_FTFT * OMACHT8_FTFT
NUM_GRAD8_FTNFT,NUM_GRAD8_FTNFT = OMAWDP8_FTNFT * OMACHT8_FTNFT
NUM_GRAD8_FULLTIME,NUM_GRAD8_FULLTIME = OMAWDP8_FULLTIME * NUM_FULLTIME_STUDENT
NUM_GRAD8_NOFIRSTTIME,NUM_GRAD8_NOFIRSTTIME = OMAWDP8_NOTFIRSTTIME * NUM_NOTFIRSTTIME_STUDENT
NUM_LOAN_STUDENT,NUM_LOAN_STUDENT = PCTFLOAN * D_PCTPELL_PCTFLOAN
NUM_NOT_COMPLETERS_DFLT_in2yr,NUM_NOT_COMPLETERS_DFLT_in2yr = BBRR2_FED_UGNOCOMP_DFLT * BBRR2_FED_UGNOCOMP_N
NUM_NOTFIRSTTIME_STUDENT,NUM_NOTFIRSTTIME_STUDENT = NUM_FTNFT_STUDENT + NUM_PTNFT_STUDENT    
NUM_PARENTPLUS_of_ALL_UNDERGRADS_DFLT_in2yr,NUM_PARENTPLUS_of_ALL_UNDERGRADS_DFLT_in2yr = BBRR2_PP_UG_DFLT * BBRR2_PP_UG_N
NUM_PARTIME_STUDENT,NUM_PARTIME_STUDENT = NUM_PTFT_STUDENT + NUM_PTNFT_STUDENT    
