Variable,n,nmiss,n_pct,nmiss_pct,Type,dev_cat,Definition
NOTFIRSTGEN_DEBT_MDN,4238,1641,0.7208708964109543,0.27912910358904575,num,aid,The median debt for not-first-generation students
DEBT_N,5297,582,0.9010035720360604,0.09899642796393944,integer,aid,The number of students in the median debt cohort
GRAD_DEBT_N,4882,997,0.8304133356012927,0.16958666439870726,integer,aid,The number of students in the median debt completers cohort
WDRAW_DEBT_N,4882,997,0.8304133356012927,0.16958666439870726,integer,aid,The number of students in the median debt withdrawn cohort
LO_INC_DEBT_N,4966,913,0.8447014798435108,0.1552985201564892,integer,aid,"The number of students in the median debt low-income (less than or equal to $30,000 in nominal family income) students cohort"
MD_INC_DEBT_N,4382,1497,0.7453648579690424,0.25463514203095766,integer,aid,"The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort"
HI_INC_DEBT_N,4379,1500,0.7448545671032488,0.2551454328967511,integer,aid,"The number of students in the median debt high-income (above $75,000 in nominal family income) students cohort"
DEP_DEBT_N,4870,1009,0.8283721721381188,0.17162782786188127,integer,aid,The number of students in the median debt dependent students cohort
IND_DEBT_N,4870,1009,0.8283721721381188,0.17162782786188127,integer,aid,The number of students in the median debt independent students cohort
PELL_DEBT_N,4685,1194,0.7969042354141861,0.2030957645858139,integer,aid,The number of students in the median debt Pell students cohort
NOPELL_DEBT_N,4685,1194,0.7969042354141861,0.2030957645858139,integer,aid,The number of students in the median debt no-Pell students cohort
FEMALE_DEBT_N,4401,1478,0.7485967001190679,0.25140329988093213,integer,aid,The number of students in the median debt female students cohort
MALE_DEBT_N,4401,1478,0.7485967001190679,0.25140329988093213,integer,aid,The number of students in the median debt male students cohort
FIRSTGEN_DEBT_N,4613,1266,0.784657254635142,0.215342745364858,integer,aid,The number of students in the median debt first-generation students cohort
NOTFIRSTGEN_DEBT_N,4613,1266,0.784657254635142,0.215342745364858,integer,aid,The number of students in the median debt not-first-generation students cohort
GRAD_DEBT_MDN10YR,4786,1093,0.8140840278959006,0.18591597210409933,num,aid,Median loan debt of completers in monthly payments (10-year amortization plan)
ICLEVEL,5879,0,1,0,factor,school,Level of institution
UGDS_MEN,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are men
UGDS_WOMEN,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are women
CDR3_DENOM,5093,786,0.8663037931621024,0.1336962068378976,integer,repayment,Number of students in the cohort for the three-year cohort default rate
T4APPROVALDATE,5878,1,0.9998299030447356,1.7009695526450075e-4,character,school,Date that institution was first approved to participate in Title IV aid programs
D_PCTPELL_PCTFLOAN,5879,0,1,0,integer,student,Number of undergraduate students (denominator percent receiving a pell grant or federal student loan)
OPENADMP,5728,151,0.9743153597550605,0.02568464024493961,factor,school,Open admissions policy indicator
UGNONDS,2818,3061,0.4793332199353631,0.5206667800646368,integer,student,Number of non-degree-seeking undergraduate students
GRADS,1731,4148,0.2944378295628508,0.7055621704371492,integer,student,Number of graduate students
SCHTYPE,5566,313,0.9467596530022112,0.05324034699778874,factor,school,"Control of institution, per PEPS"
OPEFLAG,5879,0,1,0,factor,school,Title IV eligibility type
PRGMOFR,2278,3601,0.38748086409253274,0.6125191359074672,integer,academics,Number of programs offered
MTHCMP1,2278,3601,0.38748086409253274,0.6125191359074672,integer,academics,Average number of months needed to complete largest program
MTHCMP2,1868,4011,0.3177411124340874,0.6822588875659126,integer,academics,Average number of months needed to complete program #2
MTHCMP3,1478,4401,0.25140329988093213,0.7485967001190679,integer,academics,Average number of months needed to complete program #3
MTHCMP4,1127,4752,0.19169926858309236,0.8083007314169076,integer,academics,Average number of months needed to complete program #4
MTHCMP5,811,5068,0.1379486307195101,0.8620513692804899,integer,academics,Average number of months needed to complete program #5
MTHCMP6,614,5265,0.10443953053240349,0.8955604694675965,integer,academics,Average number of months needed to complete program #6
FTFTPCTPELL,5605,274,0.9533934342575268,0.04660656574247321,num,aid,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a Pell Grant"
FTFTPCTFLOAN,5605,274,0.9533934342575268,0.04660656574247321,num,aid,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a federal loan"
UG12MN,5876,3,0.9994897091342064,5.102908657935023e-4,integer,student,Unduplicated count of undergraduate students enrolled during a 12 month period
G12MN,1731,4148,0.2944378295628508,0.7055621704371492,integer,student,Unduplicated count of graduate students enrolled during a 12 month period
SCUGFFN,5879,0,1,0,integer,student,"Number of full-time, first-time degree/certificate-seeking undergraduate students (denominator for percent full-time, first-time degree/certificate-seeking undergraduates receiving a pell grant or federal student loan)"
PPLUS_PCT_LOW,5290,589,0.899812893349209,0.10018710665079096,integer,aid,Lower bound of estimated percentage range of students whose parents took out a PLUS loan
PPLUS_PCT_HIGH,5290,589,0.899812893349209,0.10018710665079096,integer,aid,Upper bound of estimated percentage range of students whose parents took out a PLUS loan
PLUS_DEBT_INST_N,3776,2103,0.6422861030787549,0.3577138969212451,integer,aid,Student recipient count for median PLUS loan debt disbursed at this institution
PLUS_DEBT_INST_MD,3364,2515,0.5722061575097805,0.4277938424902194,integer,aid,Median PLUS loan debt disbursed at this institution
PLUS_DEBT_ALL_N,4690,1189,0.7977547201905086,0.20224527980949145,integer,aid,Student recipient count for median PLUS loan debt disbursed at all institutions
PLUS_DEBT_ALL_MD,4319,1560,0.7346487497873788,0.2653512502126212,integer,aid,Median PLUS loan debt disbursed at all institutions
PLUS_DEBT_INST_COMP_N,2785,3094,0.47372002041163463,0.5262799795883654,integer,aid,Student recipient count for median PLUS loan debt disbursed to completers at this institution
PLUS_DEBT_INST_COMP_MD,2426,3453,0.4126552134716789,0.5873447865283211,integer,aid,Median PLUS loan debt disbursed to completers at this institution
PLUS_DEBT_INST_COMP_MDPAY10,2426,3453,0.4126552134716789,0.5873447865283211,num,aid,Median estimated monthly payment for PLUS loan debt disbursed to completers at this institution
PLUS_DEBT_ALL_COMP_N,3820,2059,0.6497703691103929,0.35022963088960707,integer,aid,Student recipient count for median PLUS loan debt disbursed to completers at all institutions
PLUS_DEBT_ALL_COMP_MD,3358,2521,0.5711855757781936,0.4288144242218064,integer,aid,Median PLUS loan debt disbursed to completers at all institutions
PLUS_DEBT_ALL_COMP_MDPAY10,3358,2521,0.5711855757781936,0.4288144242218064,num,aid,Median estimated monthly payment for PLUS loan debt disbursed to completers at all institutions
PLUS_DEBT_INST_NOCOMP_N,2785,3094,0.47372002041163463,0.5262799795883654,integer,aid,Student recipient count for median PLUS loan debt disbursed to non-completers at this institution
PLUS_DEBT_INST_NOCOMP_MD,2426,3453,0.4126552134716789,0.5873447865283211,integer,aid,Median PLUS loan debt disbursed to non-completers at this institution
PLUS_DEBT_ALL_NOCOMP_N,3820,2059,0.6497703691103929,0.35022963088960707,integer,aid,Student recipient count for median PLUS loan debt disbursed to non-completers at all institutions
PLUS_DEBT_ALL_NOCOMP_MD,3358,2521,0.5711855757781936,0.4288144242218064,integer,aid,Median PLUS loan debt disbursed to non-completers at all institutions
PLUS_DEBT_INST_MALE_N,2643,3236,0.4495662527640755,0.5504337472359245,integer,aid,Student recipient count for median PLUS loan debt disbursed to males at this institution
PLUS_DEBT_INST_MALE_MD,2291,3588,0.3896921245109712,0.6103078754890288,integer,aid,Median PLUS loan debt disbursed to males at this institution
PLUS_DEBT_ALL_MALE_N,3589,2290,0.6104779724442932,0.3895220275557067,integer,aid,Student recipient count for median PLUS loan debt disbursed to males at all institutions
PLUS_DEBT_ALL_MALE_MD,3244,2635,0.5517945228780404,0.4482054771219595,integer,aid,Median PLUS loan debt disbursed to males at all institutions
PLUS_DEBT_INST_NOMALE_N,2643,3236,0.4495662527640755,0.5504337472359245,integer,aid,Student recipient count for median PLUS loan debt disbursed to non-males at this institution
PLUS_DEBT_INST_NOMALE_MD,2291,3588,0.3896921245109712,0.6103078754890288,integer,aid,Median PLUS loan debt disbursed to non-males at this institution
PLUS_DEBT_ALL_NOMALE_N,3589,2290,0.6104779724442932,0.3895220275557067,integer,aid,Student recipient count for median PLUS loan debt disbursed to non-males at all institutions
PLUS_DEBT_ALL_NOMALE_MD,3244,2635,0.5517945228780404,0.4482054771219595,integer,aid,Median PLUS loan debt disbursed to non-males at all institutions
PLUS_DEBT_INST_PELL_N,3031,2848,0.5155638714067018,0.48443612859329815,integer,aid,Student recipient count for median PLUS loan debt disbursed to Pell recipients at this institution
PLUS_DEBT_INST_PELL_MD,2540,3339,0.432046266371832,0.567953733628168,integer,aid,Median PLUS loan debt disbursed to Pell recipients at this institution
PLUS_DEBT_ALL_PELL_N,3958,1921,0.673243748936894,0.32675625106310596,integer,aid,Student recipient count for median PLUS loan debt disbursed to Pell recipients at all institutions
PLUS_DEBT_ALL_PELL_MD,3498,2381,0.5949991495152237,0.4050008504847763,integer,aid,Median PLUS loan debt disbursed to Pell recipients at all institutions
PLUS_DEBT_INST_NOPELL_N,3031,2848,0.5155638714067018,0.48443612859329815,integer,aid,Student recipient count for median PLUS loan debt disbursed to non-Pell-recipients at this institution
PLUS_DEBT_INST_NOPELL_MD,2540,3339,0.432046266371832,0.567953733628168,integer,aid,Median PLUS loan debt disbursed to non-Pell-recipients at this institution
PLUS_DEBT_ALL_NOPELL_N,3958,1921,0.673243748936894,0.32675625106310596,integer,aid,Student recipient count for median PLUS loan debt disbursed to non-Pell-recipients at all institutions
PLUS_DEBT_ALL_NOPELL_MD,3498,2381,0.5949991495152237,0.4050008504847763,integer,aid,Median PLUS loan debt disbursed to non-Pell-recipients at all institutions
PLUS_DEBT_INST_STAFFTHIS_N,1100,4779,0.18710665079095085,0.8128933492090492,integer,aid,Student recipient count for median PLUS loan debt disbursed at this institution to Stafford loan recipients at this institution
PLUS_DEBT_INST_STAFFTHIS_MD,620,5259,0.10546011226399048,0.8945398877360096,integer,aid,Median PLUS loan debt disbursed at this institution to Stafford loan recipients at this institution
PLUS_DEBT_ALL_STAFFTHIS_N,2952,2927,0.5021262119408063,0.49787378805919374,integer,aid,Student recipient count for median PLUS loan debt disbursed at any institution to Stafford loan recipients at this institution
PLUS_DEBT_ALL_STAFFTHIS_MD,2468,3411,0.4197992855927879,0.5802007144072121,integer,aid,Median PLUS loan debt disbursed at any institution to Stafford loan recipients at this institution
PLUS_DEBT_INST_NOSTAFFTHIS_N,1100,4779,0.18710665079095085,0.8128933492090492,integer,aid,Student recipient count for median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at this institution
PLUS_DEBT_INST_NOSTAFFTHIS_MD,620,5259,0.10546011226399048,0.8945398877360096,integer,aid,Median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at this institution
PLUS_DEBT_ALL_NOSTAFFTHIS_N,2952,2927,0.5021262119408063,0.49787378805919374,integer,aid,Student recipient count for median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at this institution
PLUS_DEBT_ALL_NOSTAFFTHIS_MD,2468,3411,0.4197992855927879,0.5802007144072121,integer,aid,Median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at this institution
PLUS_DEBT_INST_STAFFANY_N,879,5000,0.14951522367749617,0.8504847763225039,integer,aid,Student recipient count for median PLUS loan debt disbursed at this institution to Stafford loan recipients at any institution
PLUS_DEBT_INST_STAFFANY_MD,506,5373,0.0860690593638374,0.9139309406361626,integer,aid,Median PLUS loan debt disbursed at this institution to Stafford loan recipients at any institution
PLUS_DEBT_ALL_STAFFANY_N,1516,4363,0.25786698418098314,0.7421330158190168,integer,aid,Student recipient count for median PLUS loan debt disbursed at any institution to Stafford loan recipients at any institution
PLUS_DEBT_ALL_STAFFANY_MD,928,4951,0.1578499744854567,0.8421500255145433,integer,aid,Median PLUS loan debt disbursed at any institution to Stafford loan recipients at any institution
