Variable,n,nmiss,n_pct,nmiss_pct,miss_less_42.8%,Type,dev_cat,Definition,code,var1,var2,var3,var4
LPSTAFFORD_CNT,5559,320,94.56%,5.44%,1,integer,aid,Number of borrowers with outstanding federal Direct Loan balances,,,,,
LPSTAFFORD_AMT,5559,320,94.56%,5.44%,1,num,aid,Total outstanding federal Direct Loan balance,,,,,
DEBT_N,5297,582,90.10%,9.90%,1,integer,aid,The number of students in the median debt cohort,,,,,
PPLUS_PCT_LOW,5290,589,89.98%,10.02%,1,integer,aid,Lower bound of estimated percentage range of students whose parents took out a PLUS loan,,,,,
PPLUS_PCT_HIGH,5290,589,89.98%,10.02%,1,integer,aid,Upper bound of estimated percentage range of students whose parents took out a PLUS loan,,,,,
DEBT_MDN,5202,677,88.48%,11.52%,1,num,aid,The median original amount of the loan principal upon entering repayment,,,,,
DBRR1_FED_UG_N,5201,678,88.47%,11.53%,1,integer,repayment,Undergraduate federal student loan dollar-based 1-year repayment rate borrower count,,,,,
DBRR1_FED_UG_NUM,5201,678,88.47%,11.53%,1,num,repayment,Undergraduate federal student loan dollar-based 1-year repayment rate numerator,,,,,
DBRR1_FED_UG_DEN,5201,678,88.47%,11.53%,1,num,repayment,Undergraduate federal student loan dollar-based 1-year repayment rate denominator,,,,,
DBRR1_FED_UG_RT,5201,678,88.47%,11.53%,1,num,repayment,Undergraduate federal student loan dollar-based 1-year repayment rate,,,,,
BBRR2_FED_UG_N,5114,765,86.99%,13.01%,1,integer,repayment,Undergraduate federal student loan borrower-based 2-year borrower count,,,,,
CDR3,5093,786,86.63%,13.37%,1,num,repayment,Three-year cohort default rate,,,,,
CDR3_DENOM,5093,786,86.63%,13.37%,1,integer,repayment,Number of students in the cohort for the three-year cohort default rate,,,,,
DBRR4_FED_UG_N,5017,862,85.34%,14.66%,1,integer,repayment,Undergraduate federal student loan dollar-based 4-year repayment rate borrower count,,,,,
DBRR4_FED_UG_NUM,5017,862,85.34%,14.66%,1,num,repayment,Undergraduate federal student loan dollar-based 4-year repayment rate numerator,,,,,
DBRR4_FED_UG_DEN,5017,862,85.34%,14.66%,1,num,repayment,Undergraduate federal student loan dollar-based 4-year repayment rate denominator,,,,,
DBRR4_FED_UG_RT,5017,862,85.34%,14.66%,1,num,repayment,Undergraduate federal student loan dollar-based 4-year repayment rate,,,,,
LO_INC_DEBT_N,4966,913,84.47%,15.53%,1,integer,aid,"The number of students in the median debt low-income (less than or equal to $30,000 in nominal family income) students cohort",,,,,
DBRR5_FED_UG_N,4960,919,84.37%,15.63%,1,integer,repayment,Undergraduate federal student loan dollar-based 5-year repayment rate borrower count,,,,,
DBRR5_FED_UG_NUM,4960,919,84.37%,15.63%,1,num,repayment,Undergraduate federal student loan dollar-based 5-year repayment rate numerator,,,,,
DBRR5_FED_UG_DEN,4960,919,84.37%,15.63%,1,num,repayment,Undergraduate federal student loan dollar-based 5-year repayment rate denominator,,,,,
DBRR5_FED_UG_RT,4960,919,84.37%,15.63%,1,num,repayment,Undergraduate federal student loan dollar-based 5-year repayment rate,,,,,
GRAD_DEBT_N,4882,997,83.04%,16.96%,1,integer,aid,The number of students in the median debt completers cohort,,,,,
WDRAW_DEBT_N,4882,997,83.04%,16.96%,1,integer,aid,The number of students in the median debt withdrawn cohort,,,,,
DEP_DEBT_N,4870,1009,82.84%,17.16%,1,integer,aid,The number of students in the median debt dependent students cohort,,,,,
IND_DEBT_N,4870,1009,82.84%,17.16%,1,integer,aid,The number of students in the median debt independent students cohort,,,,,
GRAD_DEBT_MDN,4786,1093,81.41%,18.59%,1,num,aid,The median debt for students who have completed,,,,,
GRAD_DEBT_MDN10YR,4786,1093,81.41%,18.59%,1,num,aid,Median loan debt of completers in monthly payments (10-year amortization plan),,,,,
BBRR2_FED_UG_FBR,4761,1118,80.98%,19.02%,1,num,repayment,Percentage of undergraduate federal student loan borrowers in forbearance after 2 years,,,,,
DBRR4_FED_UGCOMP_N,4756,1123,80.90%,19.10%,1,integer,repayment,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate borrower count,,,,,
DBRR4_FED_UGCOMP_NUM,4756,1123,80.90%,19.10%,1,num,repayment,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate numerator,,,,,
DBRR4_FED_UGCOMP_DEN,4756,1123,80.90%,19.10%,1,num,repayment,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate denominator,,,,,
DBRR4_FED_UGCOMP_RT,4756,1123,80.90%,19.10%,1,num,repayment,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate,,,,,
BBRR2_FED_UG_NOPROG,4739,1140,80.61%,19.39%,1,num,repayment,Percentage of undergraduate federal student loan borrowers not making progress after 2 years,,,,,
BBRR2_FED_UG_MAKEPROG,4726,1153,80.39%,19.61%,1,num,repayment,Percentage of undergraduate federal student loan borrowers making progress after 2 years,,,,,
DBRR1_FED_UGCOMP_N,4713,1166,80.17%,19.83%,1,integer,repayment,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate borrower count,,,,,
DBRR1_FED_UGCOMP_NUM,4713,1166,80.17%,19.83%,1,num,repayment,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate numerator,,,,,
DBRR1_FED_UGCOMP_DEN,4713,1166,80.17%,19.83%,1,num,repayment,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate denominator,,,,,
DBRR1_FED_UGCOMP_RT,4713,1166,80.17%,19.83%,1,num,repayment,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate,,,,,
BBRR2_FED_UGCOMP_N,4709,1170,80.10%,19.90%,1,integer,repayment,Undergraduate completer undergraduate federal student loan borrower-based 2-year borrower count,,,,,
LO_INC_DEBT_MDN,4705,1174,80.03%,19.97%,1,num,aid,"The median debt for students with family income between $0-$30,000",,,,,
PLUS_DEBT_ALL_N,4690,1189,79.78%,20.22%,1,integer,aid,Student recipient count for median PLUS loan debt disbursed at all institutions,,,,,
PELL_DEBT_N,4685,1194,79.69%,20.31%,1,integer,aid,The number of students in the median debt Pell students cohort,,,,,
NOPELL_DEBT_N,4685,1194,79.69%,20.31%,1,integer,aid,The number of students in the median debt no-Pell students cohort,,,,,
WDRAW_DEBT_MDN,4637,1242,78.87%,21.13%,1,num,aid,The median debt for students who have not completed,,,,,
FIRSTGEN_DEBT_N,4613,1266,78.47%,21.53%,1,integer,aid,The number of students in the median debt first-generation students cohort,,,,,
NOTFIRSTGEN_DEBT_N,4613,1266,78.47%,21.53%,1,integer,aid,The number of students in the median debt not-first-generation students cohort,,,,,
DEP_DEBT_MDN,4539,1340,77.21%,22.79%,1,num,aid,The median debt for dependent students,,,,,
IND_DEBT_MDN,4539,1340,77.21%,22.79%,1,num,aid,The median debt for independent students,,,,,
LPPPLUS_CNT,4465,1414,75.95%,24.05%,1,integer,aid,Number of students associated with outstanding Parent PLUS Loan balances,,,,,
LPPPLUS_AMT,4465,1414,75.95%,24.05%,1,num,aid,Total outstanding Parent PLUS Loan balance,,,,,
DBRR10_FED_UG_N,4436,1443,75.46%,24.54%,1,integer,repayment,Undergraduate federal student loan dollar-based 10-year repayment rate borrower count,,,,,
DBRR10_FED_UG_NUM,4436,1443,75.46%,24.54%,1,num,repayment,Undergraduate federal student loan dollar-based 10-year repayment rate numerator,,,,,
DBRR10_FED_UG_DEN,4436,1443,75.46%,24.54%,1,num,repayment,Undergraduate federal student loan dollar-based 10-year repayment rate denominator,,,,,
DBRR10_FED_UG_RT,4436,1443,75.46%,24.54%,1,num,repayment,Undergraduate federal student loan dollar-based 10-year repayment rate,,,,,
FEMALE_DEBT_N,4401,1478,74.86%,25.14%,1,integer,aid,The number of students in the median debt female students cohort,,,,,
MALE_DEBT_N,4401,1478,74.86%,25.14%,1,integer,aid,The number of students in the median debt male students cohort,,,,,
MD_INC_DEBT_N,4382,1497,74.54%,25.46%,1,integer,aid,"The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort",,,,,
HI_INC_DEBT_N,4379,1500,74.49%,25.51%,1,integer,aid,"The number of students in the median debt high-income (above $75,000 in nominal family income) students cohort",,,,,
PELL_DEBT_MDN,4360,1519,74.16%,25.84%,1,num,aid,The median debt for Pell students,,,,,
NOPELL_DEBT_MDN,4360,1519,74.16%,25.84%,1,num,aid,The median debt for no-Pell students,,,,,
DBRR4_FED_UGUNK_N,4358,1521,74.13%,25.87%,1,integer,repayment,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 4-year repayment rate borrower count,,,,,
DBRR4_FED_UGUNK_NUM,4358,1521,74.13%,25.87%,1,num,repayment,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 4-year repayment rate numerator,,,,,
DBRR4_FED_UGUNK_DEN,4358,1521,74.13%,25.87%,1,num,repayment,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 4-year repayment rate denominator,,,,,
DBRR4_FED_UGUNK_RT,4358,1521,74.13%,25.87%,1,num,repayment,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 4-year repayment rate repayment rate,,,,,
