i,dup_var_name,Variable,Type,dev-cat,CIP_code,VALUE,LABEL,developer-friendly name
735,CIPCODE1,CIPCODE1,character,academics,NA,NA,NA,program_reporter.program_1.cip_6_digit.code
736,CIPCODE2,CIPCODE2,character,academics,NA,NA,NA,program_reporter.program_2.cip_6_digit.code
737,CIPCODE3,CIPCODE3,character,academics,NA,NA,NA,program_reporter.program_3.cip_6_digit.code
738,CIPCODE4,CIPCODE4,character,academics,NA,NA,NA,program_reporter.program_4.cip_6_digit.code
739,CIPCODE5,CIPCODE5,character,academics,NA,NA,NA,program_reporter.program_5.cip_6_digit.code
740,CIPCODE6,CIPCODE6,character,academics,NA,NA,NA,program_reporter.program_6.cip_6_digit.code
741,CIPTITLE1,CIPTITLE1,character,academics,NA,NA,NA,program_reporter.program_1.cip_6_digit.title
742,CIPTITLE2,CIPTITLE2,character,academics,NA,NA,NA,program_reporter.program_2.cip_6_digit.title
743,CIPTITLE3,CIPTITLE3,character,academics,NA,NA,NA,program_reporter.program_3.cip_6_digit.title
744,CIPTITLE4,CIPTITLE4,character,academics,NA,NA,NA,program_reporter.program_4.cip_6_digit.title
745,CIPTITLE5,CIPTITLE5,character,academics,NA,NA,NA,program_reporter.program_5.cip_6_digit.title
746,CIPTITLE6,CIPTITLE6,character,academics,NA,NA,NA,program_reporter.program_6.cip_6_digit.title
747,CIPTFBS1,CIPTFBS1,integer,cost,NA,NA,NA,program_reporter.program_1.cip_6_digit.full_program
748,CIPTFBS2,CIPTFBS2,integer,cost,NA,NA,NA,program_reporter.program_2.cip_6_digit.full_program
749,CIPTFBS3,CIPTFBS3,integer,cost,NA,NA,NA,program_reporter.program_3.cip_6_digit.full_program
750,CIPTFBS4,CIPTFBS4,integer,cost,NA,NA,NA,program_reporter.program_4.cip_6_digit.full_program
751,CIPTFBS5,CIPTFBS5,integer,cost,NA,NA,NA,program_reporter.program_5.cip_6_digit.full_program
752,CIPTFBS6,CIPTFBS6,integer,cost,NA,NA,NA,program_reporter.program_6.cip_6_digit.full_program
753,CIPTFBSANNUAL1,CIPTFBSANNUAL1,integer,cost,NA,NA,NA,program_reporter.program_1.cip_6_digit.annualized
754,CIPTFBSANNUAL2,CIPTFBSANNUAL2,integer,cost,NA,NA,NA,program_reporter.program_2.cip_6_digit.annualized
755,CIPTFBSANNUAL3,CIPTFBSANNUAL3,integer,cost,NA,NA,NA,program_reporter.program_3.cip_6_digit.annualized
756,CIPTFBSANNUAL4,CIPTFBSANNUAL4,integer,cost,NA,NA,NA,program_reporter.program_4.cip_6_digit.annualized
757,CIPTFBSANNUAL5,CIPTFBSANNUAL5,integer,cost,NA,NA,NA,program_reporter.program_5.cip_6_digit.annualized
758,CIPTFBSANNUAL6,CIPTFBSANNUAL6,integer,cost,NA,NA,NA,program_reporter.program_6.cip_6_digit.annualized
759,MTHCMP1,MTHCMP1,integer,academics,NA,NA,NA,program_reporter.program_1.cip_6_digit.avg_month_completion
760,MTHCMP2,MTHCMP2,integer,academics,NA,NA,NA,program_reporter.program_2.cip_6_digit.avg_month_completion
761,MTHCMP3,MTHCMP3,integer,academics,NA,NA,NA,program_reporter.program_3.cip_6_digit.avg_month_completion
762,MTHCMP4,MTHCMP4,integer,academics,NA,NA,NA,program_reporter.program_4.cip_6_digit.avg_month_completion
763,MTHCMP5,MTHCMP5,integer,academics,NA,NA,NA,program_reporter.program_5.cip_6_digit.avg_month_completion
764,MTHCMP6,MTHCMP6,integer,academics,NA,NA,NA,program_reporter.program_6.cip_6_digit.avg_month_completion
765,OMENRYP_ALL,OMENRYP_ALL,num,completion,NA,NA,NA,outcome_percentage.all_students.8yr.still_enrolled
766,OMENRAP_ALL,OMENRAP_ALL,num,completion,NA,NA,NA,outcome_percentage.all_students.8yr.transfer
767,OMAWDP8_ALL,OMAWDP8_ALL,num,completion,NA,NA,NA,outcome_percentage.all_students.8yr.award
768,OMENRUP_ALL,OMENRUP_ALL,num,completion,NA,NA,NA,outcome_percentage.all_students.8yr.unknown
769,OMENRYP_FIRSTTIME,OMENRYP_FIRSTTIME,num,completion,NA,NA,NA,outcome_percentage.first_time.8yr.still_enrolled
770,OMENRAP_FIRSTTIME,OMENRAP_FIRSTTIME,num,completion,NA,NA,NA,outcome_percentage.first_time.8yr.transfer
771,OMAWDP8_FIRSTTIME,OMAWDP8_FIRSTTIME,num,completion,NA,NA,NA,outcome_percentage.first_time.8yr.award
772,OMENRUP_FIRSTTIME,OMENRUP_FIRSTTIME,num,completion,NA,NA,NA,outcome_percentage.first_time.8yr.unknown
773,OMENRYP_NOTFIRSTTIME,OMENRYP_NOTFIRSTTIME,num,completion,NA,NA,NA,outcome_percentage.not_first_time.8yr.still_enrolled
774,OMENRAP_NOTFIRSTTIME,OMENRAP_NOTFIRSTTIME,num,completion,NA,NA,NA,outcome_percentage.not_first_time.8yr.transfer
775,OMAWDP8_NOTFIRSTTIME,OMAWDP8_NOTFIRSTTIME,num,completion,NA,NA,NA,outcome_percentage.not_first_time.8yr.award
776,OMENRUP_NOTFIRSTTIME,OMENRUP_NOTFIRSTTIME,num,completion,NA,NA,NA,outcome_percentage.not_first_time.8yr.unknown
777,OMENRYP_FULLTIME,OMENRYP_FULLTIME,num,completion,NA,NA,NA,outcome_percentage.full_time.8yr.still_enrolled
778,OMENRAP_FULLTIME,OMENRAP_FULLTIME,num,completion,NA,NA,NA,outcome_percentage.full_time.8yr.transfer
779,OMAWDP8_FULLTIME,OMAWDP8_FULLTIME,num,completion,NA,NA,NA,outcome_percentage.full_time.8yr.award
780,OMENRUP_FULLTIME,OMENRUP_FULLTIME,num,completion,NA,NA,NA,outcome_percentage.full_time.8yr.unknown
781,OMENRYP_PARTTIME,OMENRYP_PARTTIME,num,completion,NA,NA,NA,outcome_percentage.part_time.8yr.still_enrolled
782,OMENRAP_PARTTIME,OMENRAP_PARTTIME,num,completion,NA,NA,NA,outcome_percentage.part_time.8yr.transfer
783,OMAWDP8_PARTTIME,OMAWDP8_PARTTIME,num,completion,NA,NA,NA,outcome_percentage.part_time.8yr.award
784,OMENRUP_PARTTIME,OMENRUP_PARTTIME,num,completion,NA,NA,NA,outcome_percentage.part_time.8yr.unknown
785,FTFTPCTPELL,FTFTPCTPELL,num,aid,NA,NA,NA,ftft_pell_grant_rate
